941C sVarName
2E6A00 eLookAxis
2E6AC8 eUpAxis
2E6B8C fMinAttAngle
2E6C58 fMaxAttAngle
2E6D20 fWorldOffsetAngZ
2E87A8 sThigh
2E8858 sCalf
2E88FC sFoot
2E89A4 fMaxRotationFootUp
2E8A74 fMaxRotationFootDown
2E8B40 sMaxFootCorrectionDist
2E9500 sPlaythroughName
2E9698 oPlayDefLink
2E9800 dctCheckpointDatas
2E9D60 sCheckpointDefID
2E9E08 oValidationInfo
2EA024 nGameplayVersion
2EA0CC uFormatHash
2EA13C uScenarioHash
2EA90C key
2EAAB8 element
2EAEF0 key
2EB09C element
2EFC34 sName
2EFCDC sLevelID
2EFE78 aCheckpointDefs
2F044C sScenarioID
2F04F4 sCheckpointID
2F0594 strDesc
2F0634 sStartPoint
2F083C strTags
2F10C4 key
2F1270 element
2F1784 key
2F1930 element
2FA920 fSynchronizedBlockTime
2FA9FC fSpecialEnergyConsumedOnBlock
2FAAC4 fMinTimeBetweenMeleeActions
2FAB98 fActivationHoldToStartDeactivateAll
2FAC68 fActivationHoldToCompleteDeactivateAll
2FAD34 fDashMeleeAutoLockOnMoveLockedTime
2FADD4 bAllMeleeAutoLockOn
2FAE74 fDashMeleeExtraDistanceToEnemies
2FAF14 fDashMeleePowerSuitDamage
2FAFB4 fDashMeleeVariaSuitDamage
2FB050 fDashMeleeGravitySuitDamage
2FB0F4 bStunnedEnemiesLoseCollision
2FB8A4 bAccurateAiming
2FBE80 sBlockSyncFX
302FEC fWeaponBoostDamageMult_emmy
303098 fWeaponBoostDamageMult_emmycave
303138 fSpecialBurstWidth
303200 fSpecialRocketTimeActivate
3032A0 fSpecialRocketSpeed
30334C bSpecialRocketUseInitialAcceleration
3067D0 fMinDistance
30687C fMaxObstacleDistanceHorizontal
30691C fMaxObstacleDistanceDiagonal
3069C0 fMaxObstacleDistanceVertical
306A60 fExtraDistanceToScenario
306B04 fElectricFXTime
306BA8 fChainFXTime
306C48 iNumFadingStepsPerFrame
306CE8 fTrailVerticalOffset
306D8C fTrailHorizontalOffset
306E28 fTrailVerticalSize
306ECC bInvulnerableDash
306F68 fDashTime
307014 bHorizontalDashOnly
3070B0 iChainDashMax
307154 fCornerDashDistance
3071F4 fBackSafeDistance
307298 fFrontSafeDistance
307338 fAirBackSafeDistance
3073DC fAirFrontSafeDistance
307478 fBackCloseSafeDistance
307518 fFrontCloseSafeDistance
3075B4 fEnemiesAirBackSafeDistance
307654 fEnemiesAirFrontSafeDistance
3076F0 fEnemiesBackCloseSafeDistance
307790 fEnemiesFrontCloseSafeDistance
30782C fCloseFrontIgnoreInitDistance
3078CC fCloseBackIgnoreInitDistance
307968 fActivationDelayTime
307A10 fFailMinTimeDelay
307AB0 fBezierCurveDistance
307B54 fBezierCurveStep
307C24 bNoInputBackDash
307CC4 bHoldToChain
307D60 bAutoLauchOnTime
307E04 bChainWithDirectionTrigger
307EA0 bChainWithButtonTrigger
307F44 bCloseAnimationWithoutInput
316268 sTargetFXModel
316644 vColorLocked0
3166F4 vColorUnLocked0
316794 vColorLocked2
31683C vColorUnLocked2
3168DC fMinChargeTime
316980 fChargeTime
316A24 fTargetBumbingEffectScale
316AC8 fTargetBumbingEffectSize
316B6C fTargetBumbingEffectSpeed
316C10 fTargetingTime
316CB4 bActivationInput_R3
316D54 bActivationInput_FireCharge
316DF4 bActivationInput_AimCharge
3206E0 fDamagePerSecondStill
32087C fDamagePerSecondMoving
320A00 iMode
320AA4 iSelectionMode
320C20 iSelectionInput
320DA4 fSpecialEnergyConsumptionPerSecondStill
320F28 fSpecialEnergyConsumptionPerSecondMoving
3210B0 fSpecialEnergyConsumptionOnActivation
321230 bCanBeActivatedInsideChaseRange
3212D4 bRequireMovementToRegenerateSpecialEnergy
321370 fSpecialEnergyConsumptionOnFireBeam
3214FC fSpecialEnergyConsumptionOnFireGrappleBeam
321678 fSpecialEnergyConsumptionOnFireHyperBeam
3217FC fSpecialEnergyConsumptionOnFireMissile
321978 fSpecialEnergyConsumptionOnFireBomb
321AFC fSpecialEnergyConsumptionOnFireLineBomb
321C78 fSpecialEnergyConsumptionOnFirePowerBomb
321DFC fSpecialEnergyConsumptionOnMelee
321F78 bIfNoAeionActionsDeactivateOC
32201C fDamageOnFireBeam
322198 fDamageOnFireGrappleBeam
32231C fDamageOnFireHyperBeam
322498 fDamageOnFireMissile
32261C fDamageOnFireBomb
322798 fDamageOnFireLineBomb
32291C fDamageOnFirePowerBomb
322A98 fDamageOnMelee
325478 fAllowedActivationTime
325550 fAllowActivationFXPulseSpeed
32561C fAfterActivationPreparingLaunchTime
3256EC fSlopeToSpeedBoosterTransitionAngleMin
3257BC fSlopeToSpeedBoosterTransitionAngleMax
325890 fDefaultImpactDamage
325960 fDefaultDamageAndRepelVerticalImpulse
325A30 fMorphBallDamageAndRepelImpulse
325B00 fMorphBallPhysicsLaunchSpeed
325BD4 fBufferedActivationTime
325CA0 fLaunchDirectionAngleInterpolationTime
325D6C fFXFloorNearMaxDistanceCm
325E38 fFXFloorFarMaxDistanceCm
325F08 fMinLaunchAngleUp
325FD8 fMinLaunchAngleDiagonalUp
3260AC fMinLaunchAngleForward
32617C fMinLaunchAngleDiagonalDown
326250 fMinLaunchAngleUpCoolShinespark
326318 fMinLaunchAngleDiagonalUpCoolShinespark
3263EC fMinLaunchAngleForwardCoolShinespark
3264B4 fMinLaunchAngleDiagonalDownCoolShinespark
326584 bCoolShinesparkOneOff
32664C fCoolShinesparkDistanceToCheckPrepareInitTurn
32671C bActiveCollisionChecksEnabled
3267E4 fActiveCollisionChecksSamusOffset
3268B4 fActiveCollisionChecksMorphBallOffset
333298 fConsumptionOnActivation
333370 fDiscoveredBreakableTilesTime
33343C fDiscoveredBreakableTilesDistance
333510 vDiscoveredBreakableTileInitialColor
3335B8 fDiscoveredBreakableTileInitialAlpha
333658 vDiscoveredBreakableTileColor
333700 fDiscoveredBreakableTileAlpha
3337D4 vDiscoveredBreakableTileEndColor
33387C fDiscoveredBreakableTileEndAlpha
33391C fChargingTime
3339BC fDiscoveredLoopFadeTime
333A60 sChargePlaySound
333AFC sChargeCancelSound
333B9C fRadiusPropagationTotalTime
333C3C sRadiusPropagationEasingFunction
339F94 fTimeToShowPreparationFX
33A03C bInstantActivation
33A0D8 fTimeToActivate
33A17C fVelocityXFactor
33A21C fMorphballVelocityXFactor
33A2C4 bAllowJump
33A360 fWallVerticalEndDistance
33A404 fDefaultImpactDamage
33A4D4 fDefaultDamageAndRepelVerticalImpulse
33A5A4 fMorphBallDamageAndRepelImpulse
33A674 fBufferedActivationTime
33F838 sLaserFX
33F914 sAutoAimLaserFX
33FB4C bAutoAimActive
33FD54 bLockOnSoundAllowed
33FF58 fCurrentAutoAimWidth
34015C fCurrentAutoAimConeLength
340B94 vLaserLockedColor0
340C70 fLaserLockedAlpha0
340D3C vLaserUnlockedColor0
340E10 fLaserUnlockedAlpha0
340EE0 vLaserLockedColor2
340FC8 vLaserUnlockedColor2
341094 fLaserLockedScale
341164 fLaserUnlockedScale
341230 vGrappleLaserLockedColor0
341304 vGrappleLaserUnlockedColor0
3413D8 vGrappleLaserLockedColor2
3414A8 vGrappleLaserUnlockedColor2
341574 bAutoLockOnForceAutoGrapple
341640 fEndForceFullyChargedTime
3416E4 fWalkToRunInputSize
341788 fRunToWalkInputSize
34182C fFrontUp
3418D4 fFrontUpUp
341978 fFrontUpDown
341A20 fFrontDown
341AC4 fFrontDownUp
341B6C fFrontDownDown
341C10 fFrontLockUp
341CB8 fFrontLockDown
3596EC fAutoAimWidth
3598F4 fAutoAimLength
359B00 fAutoAimConeLength
359D08 fAutoAimInterp
359F14 fAutoAimLockOnInterp
35A11C fAutoAimLockOnPredictionTime
35A328 fAutoAimLockAfterDeadTime
35A3CC fMaxTimeMaintainingFront
35A49C fLaserDeactivationTime
35A570 fAnalogModeDefaultInterp
35A640 fForcedFrontTimeAfterFire
35A6E4 fForcedFrontTimeAfterFireOnAir
35A784 fForcedFrontTimeAfterDiagonal
35A82C fForcedFrontTimeAfterSecondaryWeapon
35A8D0 fForcedFrontTimeAfterStealthRun
35A970 fForcedFrontTimeAfterParkour
35AA0C fForcedFrontTimeAfterFloorSlide45End
35C438 fInitialSpeed
35C4E0 fMidSpeed
35C57C fTimeToMidSpeed
35C61C fEndSpeed
35F2E0 fResetTime
35F3B8 fUseTime
35F480 iSpawnDirection
3626D8 tPresets
362780 sAttackAnim
362824 sName
3628C8 bCheckInFrustum
362964 fMinDistance
362A08 fMaxDistance
362AA4 bCheckTargetReachable
362B44 bCheckTargetDetected
362BE4 bCheckTargetNotInvulnerable
362C84 bCheckViewDirection
362D50 bCheckNotViewDirection
362E1C bUpdateAttackWhileFrozen
362EE4 bFreezeEndsAttack
362FB0 sCancelAttackAnim
3630E0 sAttackOnEndTimeline
363208 fMinTimeBossInCombatToAttack
3632A8 iMaxToRepeat
363348 iMaxWithoutLaunch
3633E8 fMinTimeToReachDesiredAttackPos
363484 fChaseCenterDistance
363524 fMinTimeSinceLastGrab
3635C0 bCheckTargetOnFloor
363664 bCheckNotTurning
363700 fTimeSinceLastFrozen
3637A4 bCheckInSubarea
36447C key
364628 element
364A60 key
364C0C element
36520C bEnabled
3652E0 fMinNextAttackTime
3653A8 fMaxNextAttackTime
365474 fMandatoryMinNextAttackTime
36553C fMandatoryMaxNextAttackTime
365608 fRepeatAttackTime
3656D0 fShortDistanceProb
3657A0 fMediumDistanceProb
365868 fLongDistanceProb
365938 fAbuseShortDistanceProb
365A00 fAbuseMediumDistanceProb
365AD0 fAbuseLongDistanceProb
365B98 fAbuseTime
365C68 uMaxOccurrencesInLastAttacks
365D08 uNumOfAttacksToEvaluate
36A208 sAnim
36A2E4 sAnimProp
36A3AC sTurnAnim
36A47C ePrefixToAdd
36A538 ePrefixToRemove
36A600 bWaitUntilActionEnds
36A6CC eStatusIfCantSetAction
36A794 sTimelineStart
36A85C sTimelineEnd
36A928 bCheckIfSmartLink
36A9F4 bSetAction
36AAC0 bMaintainFrame
36BCB4 sAnim
36BD90 sAnimProp
36BE58 sTimelineStart
36BF24 sTimelineEnd
36BFEC bForce
36C0B8 bUpdateModel
36C180 bWaitAnimEnd
36C250 bWaitIfFrozen
36C318 bSyncWithCurrent
36C3E4 iMinRandSuffix
36C4B0 iMaxRandSuffix
36CFF4 sFrontImpact
36D0D0 sBackImpact
36D198 bWaitAnimEnd
36D268 bWaitIfFrozen
36DC54 sInDirAnim
36DD30 sInDirAnimProp
36DDF8 sNotInDirAnim
36DEC4 sNotInDirAnimProp
36DF8C sInDirIdleAnim
36E058 sInDirIdleAnimProp
36E120 sTargetPos
36E1EC bForceViewDir
36E2B4 bInvertViewDir
36E378 bForce
36E440 bUpdateModel
36E50C bWaitAnimEnd
36E5D8 bWaitIfFrozen
36E6A4 bSyncWithCurrent
36E76C iMinRandSuffix
36E83C iMaxRandSuffix
36E904 bCheckInSmartlink
36E9D0 bCheckInTurn
36EA98 sReturnActionDisp
36EBC8 bFailIfSmartlink
370AA4 bForce
370B78 bWaitAnimEnd
370C44 bWaitIfFrozen
370D10 bSyncWithCurrent
37146C sSideWalkAnim
371B04 sAttack
371BFC sAttackBlc
371CD0 bWaitOnAbort
372690 sAttack
372C18 sPropFromName
372CF4 sPropToName
3733B4 sPropName
373490 fMultiplier
373B44 sPropName
373C20 fMultiplier
374364 sPropName
374440 bValue
374AC4 sPropName
374BA0 fValue
375214 sEntityNameBlc
3752F0 sPropName
375D30 sPropName
376414 sPropName
3764F4 sValue
376BA4 bCheckRotation
3771E8 bWait
377290 bWaitForever
3777A4 sFX
377884 bEnable
37794C bDisableOnEmpty
377A1C bWaitEmissionStop
378124 sFX
378204 bSet
3782CC bEnd
378964 sTimeline
378A44 bSet
379164 bMaintainViewDirOnReached
379238 bIgnoreTargetAccesible
379304 bAccessibleIfReachable
3793D0 bCheckTargetAccesibleStandingAbovePath
379498 fTargetAccesibleMaxHeight
379568 bGotoMovingIfNotInFrustum
379634 bAllowTargetToJumpOver
379700 fMovingToIdleLimitsOffset
3797CC bIgnoreNextAttackTimeOnIdle
379898 bFaceObstacleFreeTargetSide
379960 bUseRandomCenter
37C4EC sPos
37C624 sClockwise
37D010 sPropName
37DB00 sPropName
37EE18 sTargetPos
37EEF4 bUpdateEachTick
37EFC4 fReachedDistance
37F098 bLookAtDir
37F160 bForceStop
37F230 bResetParams
37F2F8 bCheckIfSmartLink
37F398 bGeneratePathOnly
380380 sDesiredClockwise
380C0C fReachedDistance
380CE4 bUpdatePath
381C74 bUpdateViewDirection
382274 iCount
382350 sText
382924 fReachedDistance
3829FC bSuccessOnFinish
382AC4 bForceGotoSide
382B94 ePathLimitMode
382C50 eAlternativePathLimitMode
382D1C bLookAtDir
382DB8 fMinDistance2NewFleePoint
382E88 bForceUseNavmeshPath
382F50 sEndAnim
384924 fReachedDistance
3849FC bSuccessOnFinish
384AC4 bSetAnimOnReach
384B90 sAnimOnReach
385D64 fAcceleration
385E14 fSpeedMultiplier
385EB4 fHareDistance
385F58 bLookAtMoveDir
385FF8 bIgnoreCollisionInPath
386098 sPatrolAnim
386140 bShouldSetPatrolAnim
3861E0 bUseSteering
386280 bRestartnOnPush
386320 bUseDesiredViewDirAsInitialDir
3880F4 fReachedDistance
3881D0 bStopInAbort
388298 sAnim
38836C sReturnActionDisp
38A0D4 fReachedDistance
38A1AC sGrazeInitAction
38A27C sGrazeEndAction
38A348 sMinTimeBetweenGrazings
38A410 sMaxTimeBetweenGrazings
38A4DC sMinTimeGrazing
38A5A4 sMaxTimeGrazing
38A670 bStopInAbort
38A738 bWantsModifyPathIfTargetNear
38A7D8 bCheckDirToMove
38A8A0 bAlwaysInDir
38A940 fMaxDistToModifyPath
38A9E0 fMinDist2GoAway
38CF34 fTimeWaitting
38D00C sAnim
38D0DC sAnimProp
38DE64 fReachedDistance
38DF3C fRefreshRate
38E00C bShouldLookAtDir
38E958 bKeepRunning
38EA2C bRotateOnlyHorizontally
38F08C fMaxTimeScared
390388 bSetX
39045C bSetY
390528 bSetZ
3905F4 fXValue
3906BC fYValue
390788 fZValue
390D94 sComponentName
390E74 bEnabled
391588 sElapsedTime
391664 fMinTime
391730 fMaxTime
3917FC sMinTime
3918C4 sMaxTime
391994 bResetElapsedTimeOnSuccess
391A60 eReturnStatusFailed
392208 fTime
3922DC sTime
39240C sTunable
39252C sTunableVar
39264C bWaitTick
392718 bShouldHaveLOS
392F60 fRandomOffset
3938B4 bNegate
39398C eReturnStatusSuccess
393A4C eReturnStatusFailed
396150 sAction
396830 sTrack
396F24 sAttack
397020 bCheckRotation
3970E8 bIgnoreDistance
3971B4 bUseSuitableAttack
397B10 sAttack
399290 bShouldHaveDirectVision
39A464 bValue
39A538 sValue
39A608 sBlcSection
39A6A8 bUseGlobalBlc
39AD54 fValueA
39AE28 sValueA
39AEF8 sTunableA
39AFC4 sTunableVarA
39B08C fValueB
39B158 sValueB
39B220 sTunableB
39B2EC sTunableVarB
39B3B8 eCompareOperator
39C704 sFirstPos
39C7E0 sSecondPos
39C8A8 fDistance
39C974 fHightDistance
39D250 fDistance
39D7C4 fMaxHeight
39D870 fHorizontalExtraDistance
39D910 bWantsFalseIfTargetHangingAbove
39E504 fValue
39E5D8 sValue
3A0550 sPos
3A19D4 bClockwise
3A1A7C fDist
3A2104 fTime
3A21DC sTime
3A28F4 fTime
3A29CC bCheckTargetInTheBack
3A2FC4 sRawValue
3A30BC sBlackboardValue
3A3864 bValue
3A3938 sCategory
3A3A08 sVariable
3A4D20 bWait
3A5320 bWait
3A5930 bWait
3A5F44 eReturnStatus
3A7104 eSuccessPolicy
3A71E0 eFailurePolicy
3AADF0 sArenaLeftLandmark
3AAEA0 sArenaRightLandmark
3AAF3C fArenaLimitDist
3AAFE4 tDoors
3AB0C0 wpBossCamera
3AB154 wpBossCameraFloorLandmark
3AB1F0 wpBossCameraCeilingLandmark
3AB3C0 wpStartCombatCheckpointStartPoint
3AB458 sStartCombatCheckpointSnapshotId
3AB55C wpDeadCheckpointStartPoint
3AB5F8 bSaveGameOnAfterDead
3B083C fUseOffset
3B2254 sAttackPos
3B2330 sAttackUp
3B8304 iMaxExplosions
3B849C fTimeBetweenExplosions
3B8544 fExplosionWidth
3B86CC fMaxExplosionHeightOnGround
3B876C fMaxExplosionHeightOnWall
3B880C fMaxExplosionHeightOnCeilling
3B88A8 fExplosionHeightStartAttackOffset
3B8948 fMinExplosionHeight
3B89E8 fAttackRecoveryTime
3B8A90 fExplosionDamage
3B8C14 fExplosionDuration
3B8CBC fMaxDistToAttack
3B8E40 fMaxPropagationHeight
3B8EE4 fMinDistToSlope
3B8F84 fBaseRotationEffectFactor
3B95CC oAutclastChargeAttackDef
3BA554 eJumpType
3BB954 fExplosionRadius
3BBAF4 fTimeToExplosion
3BBC80 fTimeAtMaxRadiusExplosion
3BBE00 bCanBeSpawned
3BDA4C fAttackDuration
3BDAF8 fChargeDuration
3BE5B8 oAutomperAutomaticIrradiationAttackDef
3C2064 vAISmartObjects
3C6A54 bRepairEnabled
3C6B78 fExtraTimeAfterKill
3C6D08 fRandTimeFirstSpawnMin
3C6E94 fRandTimeFirstSpawnMax
3C7014 fBrakeDistance
3C70B8 fMinSpeed
3C715C fMaxInclination
3C7204 fReachedDistance
3C72A0 fMaxAcceleration
3C7344 fMinAcceleration
3C73EC fMotionSpeed
3D07C4 bCanBeSpawned
3D0898 fDistanceToDetectMagnet
3D0964 fTimeToPrepareExplosion
3D0A34 fRotationInc
3D0AFC fRotationMultiplier
3D1178 fExplosionRadius
3D1224 fTimeToExplosion
3D12C8 fTimeAtMaxRadiusExplosion
3D1368 fDamageAutsharpExplosion
3D1404 fTimeToPrepareExplosion
3D14A8 fRotationAccelTime
3D1544 fRotationMultiplier
3D15E8 fAccelIncrementation
3D1684 fTimeToDecelerate
3D1728 fJumpUpImpulse
3D17C8 fJumpFrontImpulse
3D1870 bIncrementRotationInJump
3D82D8 fTimeToReload
3D8380 fTimeToChargeRay
3D8420 fTimeToUnchargeRay
3D84C0 fTimeToRelocateCannon
3D8560 fTimeBeforeShoot
3D8608 fTimeAfterShoot
3D86A4 fMaxPitch
3D874C fMinPitch
3D87EC fMaxVolume
3D8894 fMinVolume
3D8938 fTimeCannonLocked
3D89DC fTimeToGoPatrol
3D8A7C fTimeToLoseTarget
3D8B1C fDistToStopCloseToTarget
3D8BBC fTimeBeforeBlockeableWarning
3D8C64 fTimeAfterBlockeableWarning
3DAE6C oAutsniperShootAttackDef
3DAEE4 fTimeToChangeLayer
3DAF88 fMovementFactor
3DB5A0 fAcceleration
3DB650 fSpeedMultiplier
3DB6F0 fHareDistance
3DB794 bLookAtMoveDir
3DB834 bIgnoreCollisionInPath
3DB8D4 bUseSteering
3DB974 bRestartnOnPush
3DBA14 bUseDesiredViewDirAsInitialDir
3DBAB0 bUpdatePath
3DC974 bReceivingCall
3DED1C fCallDistMaxDelayTime
3DEDF4 fCallDistLimit
3DEEC0 fCallRandMinDelayTime
3DEF68 fCallRandMaxDelayTime
3DF00C fRandMinTimeForPathUpdate
3DF0AC fRandMaxTimeForPathUpdate
3DF150 fDotNegativeMaxTimeForPathUpdate
3DF1F0 fMovementShakeRadius
3DF290 fMovementShakeInterpolationSpeed
3DF334 fBrothersDist2Stop
3E1308 fMinAttackDistance
3E14A4 fMaxAttackDistance
3E1628 fPostAttackLoopDuration
3E17BC fFrontSpaceToForbidAttack
3E3EDC fReachedDistance
3E3FB4 fDesiredChaseDistance
3E4960 fMinTimeBetweenDigs
3E4A38 fMaxTimeBetweenDigs
3E4B00 fMinTimeDigging
3E4BCC fMaxTimeDigging
3E666C timeForNextDig
3E7F1C fMaxHeightAttackBehindDist
3E7FF0 fMaxHeightAttackFrontalDist
3E86E8 oBigFistAttackDef
